"","year","sc1.0","sc2.1","sc2.2","sc2.3","sc3.1","sc3.2","sc4.1","sc4.2","sc5.1","sc5.2","A","B","C","D","E","F"
"28",28,7.87926095589528,572.641959944012,95.3440510769644,1590.34298760905,6.25652325570126,11.4632390290147,65.7047420338991,392.43624057195,1697.53535522188,17828.224346807,1430.70013142396,1014.98912409781,5338.91916791828,38.4720222309031,945.505383296979,5028.13224913249
"29",29,4.88839102155835,560.453135680549,89.365884305009,1623.65337687215,4.07171761933392,10.3365292481758,57.9236289213144,396.462095605936,1777.80601227862,19320.9273621468,1471.534660821,1024.33570667952,5829.86392736084,28.2064901222861,983.583921684997,5445.47322559619
"30",30,4.71773724023818,570.607589653237,93.2180873009612,1657.41822256034,3.57141150657077,8.49897539399337,57.578011248623,401.221373717039,1910.94739554976,22500,1507.72649161974,1026.24426809284,6238.98276178902,29.5760782258099,943.681249908494,5948.59611683299
"31",31,4.9086246003819,590.737214220055,88.185356061675,1688.82867371143,3.93165766432235,7.28038826232362,55.1257971595903,414.324257524015,1915.31051353744,22500,1542.26060355442,1019.19091331065,6468.40665084381,29.070999962356,978.645401530926,6640.02896731829
"32",32,2.945464427232,590.154011718807,81.9829941494408,1736.93569989216,2.58678951060826,6.4798661945402,48.4764996587789,419.211605716385,1964.8916847693,22500,1527.73118305965,1033.36825550607,7787.43419343479,21.470838058065,1034.02763263961,7002.87742465686
"33",33,3.27220689623314,613.427858382299,78.4196874223788,1712.82237071807,2.18150832936379,5.70076090199431,47.5865027323813,413.60373536856,2090.94565889139,22500,1544.78107738023,1032.10651134624,8005.22258151406,21.4246934514987,1039.12100468806,7654.34153742915
"34",34,3.16881827892168,607.295609972294,70.7855375685079,1759.27791437506,2.45904043513242,4.8060296286161,46.2715204584719,408.129886411374,2137.29151157672,22500,1606.16426137704,1067.93780659052,7946.29346074242,20.8514725502908,1027.70785560907,8375.01793109779
"35",35,1.96157270527743,608.953973669908,70.0232038240599,1782.98916494328,1.58192670209831,4.37612350413954,43.4855534719394,418.817122361353,2158.13594757347,22500,1618.6512226102,1073.1093925763,9052.95503770107,16.7446455894429,1038.85121819562,9047.01381905419
"36",36,2.13214298072349,623.707360420971,67.3613607518395,1831.29365331977,1.40150823489235,3.76115512950225,39.2857481815045,420.195466379188,2172.25961956297,22500,1644.68235688353,1085.08624715305,10394.6479550892,17.2834053962373,1075.61524820252,9826.26547955753
"37",37,1.91791645864226,619.284507150273,64.8066360446451,1884.88920210442,1.5309623123106,3.10428056551893,41.0619944818449,432.242930435253,2314.53744430029,22500,1697.96926392319,1074.02639733404,9791.43757374897,17.5944857806034,1051.40996775118,10605.1174587346
"38",38,1.24176067209689,635.602996175025,62.3632022632359,1882.39153320569,1.01150305745297,2.78701312982026,35.4262855999279,425.63243411204,2275.58641527871,22500,1660.90419368255,1076.66743905238,10947.6238742934,13.5432870811816,1094.17759424606,11294.0503965419
