"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"18",18,56.7422699513341,84.3953082800898,112.451175589171,9.89295482880654,13.7225784589834,30.9777900087338,45.0877035526495,17.0348424319723,13.0148482535402,29.71459458287,48.4062763305123,21.8264279030205,27.0635196814322,14.623899137249,113.1409484671,16.5217927947342,23.0970066661932,17.3247133954779,15.2064933536122,72.697554102633,34.2761580067359,8.76819976070058,29.7511300253514,39.5629926796124,32.5481429590123,70.6286672911526,33.2572910980012,50.0370124968667,47.0302033081312,5.71322851379934,46.8070543067499,13.4302624138185,4.42583460672719,21.4747452228838,71.1177590316578,23.8815132810165,11.2551498380651,27.6960337738658,66.0659814336886,21.5221985119624,39.3443663346261,36.0570480733047,33.2043104216958,12.5320901739375,66.4692008109927,22.6961044885555,31.8299767611304,19.5861127398346,3.7124281201703,21.0643752448958
"19",19,47.5179098366768,57.0404130352293,86.7537452183494,16.4145989592198,9.04390563396132,52.7482534292924,47.9065312473394,33.820887173266,9.28188755484752,19.1110136869047,23.7513271458482,18.9148007444303,18.0718509611329,34.6368814905331,54.5648954184453,52.3820975616336,12.3254175277511,14.395652406944,18.3550886261164,31.9412776383642,48.2511669198245,4.237400720207,23.769067116617,14.196408670845,36.6342338654946,17.0307212909565,24.8400250711781,45.3165537859678,43.118382991204,24.1204551391852,31.0154645596996,6.78375419803135,1.91037248749122,14.1467099984716,53.1574110364869,15.8485226220895,60.4218543004789,20.9182710469886,31.1998895775427,25.0007140604443,33.865281653316,18.3914166840224,21.4892031294563,30.7333260921152,110.057076072537,15.8091492268244,13.2827248471428,19.8282048430678,3.74926620749912,24.8710025333958
"20",20,36.2903566924425,45.6442751207211,47.214710321115,6.08148705878031,3.96654511004717,35.2397568038727,38.0558215037998,14.3690999573962,9.2899464064588,12.2171225680711,31.7097418131622,13.5536377743106,38.5701387730292,23.1327585125588,22.2370857792626,17.8485989247215,37.8633813482362,10.3264342364173,20.0698398467322,8.74987088609929,78.2367491591679,10.9402075894382,19.3247100332248,7.95176555325901,21.9611355356266,24.2491604540214,8.22105057859555,13.9116998163836,73.5783749108542,15.0647655131688,39.635716649119,6.30947204007576,2.5776966663047,15.0126620914306,36.8484592408282,11.2170692234178,31.222007623531,8.86640626952341,55.7111102730849,26.5600456650741,17.3901802423369,22.2503721100364,17.0135724420092,12.3531815969694,79.7284073282896,17.3128638849857,7.04457544815031,13.8651327713076,10.5131402027626,10.2557147735016
"21",21,42.2356364992022,37.2679544982991,49.3530796509592,5.33972012091024,2.47208021062951,28.7159410065536,30.7977153278084,12.7786305454066,15.1527832649306,14.2714664314899,30.3147842742458,7.90260476084874,25.82580288877,9.86576866716436,93.7062854677884,14.8631994932012,20.1990296027499,9.74988618791983,7.1600047575501,28.1645304674371,51.2287114534751,7.95620685685456,12.6396226240007,7.32027768902039,10.844898317315,35.2792596225331,13.5934119555485,15.5112320980274,26.9791550027752,4.36692814745725,35.900356264333,9.2089730888379,3.88968783569118,12.2779145975665,17.1555043779051,13.01206849199,11.3439571303604,9.80181886479913,23.612901059604,17.2950330670461,7.81712206218798,35.5156089029252,26.3989703041764,5.99979737502589,41.7010820621814,15.6437812208625,22.5909188524322,18.9739454026473,5.57464855902977,15.9055673590372
"22",22,53.4047866304602,47.3489489223466,42.5221534849661,5.21513875114869,4.82003190968879,38.0875239416381,15.8143220571007,26.8027796434305,7.37632732596239,9.42213503821312,21.6322425792686,6.56096860581337,16.6538212768833,27.5018790018748,32.2333897603872,11.3073203630714,11.5500001777054,13.0157682446285,11.6929395957008,16.7328986317504,33.1248833979897,4.9149121558592,9.77785989053355,6.52912031526911,10.9433356181301,13.6833892440663,6.15631899489008,14.8936076463485,11.842029388346,10.5823784597885,14.2570651462564,4.98044283566382,1.429037385242,12.1438392682368,11.4758150209862,20.4555401910874,9.60363547224292,11.3835153228168,10.3171102198499,18.6603319589804,27.0688383137321,14.4807610615761,27.3487795694449,18.8205583636263,116.024428749373,11.3973119315661,14.2768910526308,8.31361489723897,2.56616183986269,17.218702027166
"23",23,35.7150137194986,48.7345634925249,34.1107140336467,4.74306431331325,3.11379847912241,14.2156157948503,25.3547031582568,18.8219806943034,9.53443051280314,6.30612847877153,12.6072968119356,7.19918270268247,29.4621477277455,13.1909602757244,19.3888087281064,8.50566248749758,25.9585406038299,9.81003615422827,11.1051732347935,9.95515757698621,82.21749886695,6.37530890549461,8.47532468828865,7.36948933173212,11.8542336247573,6.47814936169493,3.01526996178381,13.2903973150606,32.6495052550474,15.3184256812134,25.4293386460873,3.18564849925894,2.5508088176405,6.84512870570679,28.3993645280659,9.4682858546347,22.0047572825732,8.14774057732656,20.4413134215309,17.1007295346256,24.1152536291751,15.0154954717916,17.7620570245402,15.8919208488586,47.3356908146204,13.9136796973399,7.16313723931397,7.98262924171596,1.7471836965332,9.79199246772993
"24",24,27.3976799876899,22.6872532095175,18.6280532939748,4.78002942650535,2.08773474860467,21.5241503783613,19.2688323516451,6.37353713870927,5.99723193741878,9.48446195763857,30.1829359338658,5.53185216099497,16.7206818530349,8.05389978208694,85.1940983955526,6.96720341793265,11.5352018281332,10.3507798168698,3.6287866278547,20.5088613389005,61.1898279360409,4.32759365367023,11.5010675032629,5.34283628358399,3.82899393388845,25.8354747361172,6.77411510923041,17.777349787068,14.402339623085,4.63093103370185,19.5839194697965,5.54804854518526,1.38436276023666,7.85302170694987,21.8390514168016,6.61575406645587,9.71231345501524,7.8476429348543,8.26800161621112,9.16659973656876,11.8917158818639,24.5010655844133,19.3475192748532,8.33727929039976,22.3210918174584,12.4988185120452,7.95916034102312,14.3162057123084,3.43313912605516,8.69894355671029
"25",25,11.7130677476705,16.8296449621859,23.4526523698761,3.90176639010755,1.79989138465164,21.4928458604159,13.8635883330531,4.55045102073506,4.14205204829496,6.46118550288024,27.0057754460311,3.42880909273919,13.4991003727571,16.5130547494286,47.7542800084807,7.31540298348407,5.58857403452941,9.36731859530863,1.76851229585089,7.40814981764172,44.8634823764096,1.87507646490264,13.3933750556887,4.03323546856325,4.71028779773809,13.6212061292068,7.32959852584476,9.25211580287445,7.33567558361403,5.00256186828706,11.7703808549313,3.61192792572808,0.905097916990229,3.86806377454766,8.45668963557818,4.65362349768107,5.24706090451146,11.7936384900202,6.28916765027365,9.49766903325197,17.5117265313981,9.4857654967258,20.640450519151,5.0625398870763,63.4546612149489,6.27143478281806,9.47954715884181,6.98315955853091,2.79955153129098,13.2381060175304
"26",26,6.74839639736665,25.3138546460781,19.5644394956953,1.8753444542535,2.31512156013623,10.1602371004533,14.0798937080606,13.7351614657694,3.10191084685048,3.06046524578962,11.3560139871038,6.02807405121178,17.1795606304975,7.33977234322084,24.8895645935008,4.70838193526163,9.26660734318302,7.38269834448061,8.83053946532731,4.70573327550292,45.8595847131415,5.19212199747944,9.4236396586645,5.14993068779696,2.58376059367775,7.00575164861391,3.72913692129572,6.65545853835112,13.8565717135219,9.05036624478668,14.0534652717918,3.2310020448246,1.91098463564129,5.82551982318734,9.83353633610328,3.10719651528961,11.2428974078273,8.41117995824525,21.8493835715136,4.28285173927772,22.1268971995103,16.4562684937061,14.3726576896752,9.95778949643164,53.8256322637813,9.05589945069686,10.2716695984223,5.21155925336559,1.11483719460952,9.27317425991331
"27",27,13.4437430840557,22.7008511095435,15.2943162585044,2.23911747195296,1.00796175962118,8.26070795098514,11.509928692076,5.90393882327601,2.49831641204599,3.15143363093014,13.2855012638782,4.15604385127298,16.8552725265146,6.26113780125408,44.1006761498315,5.43032961913453,3.75769083333925,11.18912815911,4.36564224245172,12.2799530532879,18.8455197799631,2.62724733394362,4.35293659588898,4.96065977182522,2.31306541657498,21.1114583831748,1.4284663950698,8.19007197520111,15.6809295419401,4.12481058947247,12.9418359039388,3.30707756370974,0.982101115049937,6.20188775876325,9.24761585382546,7.2178060727978,7.67593666141352,4.57799025035037,9.1756252675203,2.37267491618345,11.6581643931739,17.0457436163067,22.6314059568437,3.59249672247248,28.1972735767264,9.10908445948823,9.44404397405444,10.2504046552264,1.21546853610922,5.90887244087503
