"","year","sc1.0","sc2.1","sc2.2","sc2.3","sc3.1","sc3.2","sc4.1","sc4.2","sc5.1","sc5.2","A","B","C","D","E","F"
"28",28,27.0188987061783,616.081253091497,170.210947769177,1700.90068078225,19.8960205913907,16.00442978274,117.914717817019,446.037152860393,2150.23313093491,16019.0902848137,1556.50042491892,1043.27775333865,7570.265122808,88.7297306320908,1701.08734585624,6577.18418616159
"29",29,21.3781959531776,614.144173131799,172.636599900661,1747.53853546374,12.3784038142267,14.3199040574587,111.122799841546,448.774006405172,2188.07050775326,16665.1606670269,1580.56311510171,1060.71302966468,8542.67354893326,70.057238860049,1767.6469028989,7053.5887312925
"30",30,19.0394919587252,622.730478172395,158.162664925909,1790.95256364493,13.574697573263,12.4219875925786,104.678816768104,459.107909212961,2349.983524607,17753.4180755458,1634.20751558212,1066.8997581019,8775.38588810661,70.683965144154,1841.30856571403,7790.81660501524
"31",31,19.4126839801288,631.08692258074,151.6142723546,1825.32794073476,15.098466031387,10.7090753874398,106.11856172612,461.894594095108,2447.72913219867,18351.4604828728,1660.01496309687,1065.84747100261,8957.50185832658,75.6015333654487,1813.70889895855,8347.68064937992
"32",32,17.7848725912948,638.966626227943,153.537534059698,1880.92769625848,9.30966030905283,9.67377055889495,94.7908005265774,462.098666630784,2481.59486672827,18505.5363048204,1672.03373583301,1072.61760070533,9913.36264836919,56.3150786646594,1912.16129740713,8896.40216922627
"33",33,14.4247402628212,645.728332687772,142.126255965915,1924.64767940832,9.86325672973395,8.51338111880751,89.7148642149461,466.265784034949,2631.01698399729,19149.5728563827,1708.59525553596,1087.3699065946,10261.0253878563,58.4010095656519,2031.71597682245,9488.7499433445
"34",34,14.3112775938623,641.039524268211,141.314420089787,1971.99007136098,10.8247533266963,7.39130994603155,93.3825209101978,473.672695855682,2727.11214991488,19846.0422989705,1778.64215039392,1098.96687252551,10163.2161266948,62.0308760836197,1995.47980583305,10145.4105055117
"35",35,14.8109089536921,641.465080306736,146.322882951335,1991.70016188984,6.99564181871234,6.51783357735141,81.4584020406478,474.655777679726,2773.10231148836,20090.1891174942,1823.46955365657,1106.86449270521,10994.8167154516,46.2236063421784,1982.15320090151,10757.9547799762
"36",36,10.5150763359462,653.644893386753,128.306916861512,2041.91444101851,6.43204156379876,5.89729440559743,82.1232592432717,482.164710673621,2928.79382051693,20292.2067640027,1804.47252493219,1114.83900306511,11748.6527794802,51.6900676375609,2102.79786013822,11369.9598470069
"37",37,10.746208093553,655.639566242128,136.645849582944,2108.18655094097,7.73886351853229,5.13105319324512,86.3912902406762,493.800733103381,3014.90203449729,20510.8745795606,1889.65886316366,1121.39155731385,11470.8740938102,54.7575560962775,2164.8902697094,12054.0599851248
"38",38,10.9431982818966,665.722261738534,134.627769449553,2122.06047738689,5.0349572804653,4.45346400257545,70.7503447655305,484.106820180633,3120.95753690434,20815.2161422246,1886.53974188309,1123.82724325296,12305.3231262331,38.5984632607497,2073.48334187819,12472.9478962483
"39",39,6.67601605506819,674.282333153313,123.159620840446,2171.26288938309,4.55692699085968,4.02246310445421,70.9452334173331,478.62816023653,3224.98854574633,20753.7077103776,1898.83792561747,1139.9592162367,12930.0324921984,42.97531692938,2264.9836102545,13066.1070355534
"40",40,7.40570179285659,675.813850656378,129.028366607754,2240.54553178453,6.13998306983328,3.48655680839739,74.151057960877,494.770790341573,3401.02168068824,20933.3791278263,1953.95934749512,1147.39774618286,12973.3402071222,44.7862545292401,2358.14779458756,13711.6109202139
"41",41,7.21188744638007,681.121449511376,127.213495194986,2300.65906495734,3.2835181242377,3.06094451852789,65.7920486590477,501.141904150291,3589.71332895207,21044.3633598023,2025.46239275589,1139.40326347725,13462.0775769034,31.3873687630905,2158.1811542251,14198.888962976
"42",42,4.9674742819897,688.256476137896,115.297169029419,2336.40112892211,3.07341173368139,2.82857770838213,61.2734900354855,488.752583606926,3708.27746454427,21160.1498710813,2007.72957143388,1144.11614096443,13931.232920901,35.8565698265807,2507.41804047142,14855.4780557276
"43",43,5.58835930762524,686.831176954548,117.134516234356,2384.42689473477,4.05947861745934,2.46414555593463,65.1010960159376,493.951482789466,3845.53645714385,21277.4657913186,2074.39224933603,1160.82259758049,14067.1526872719,37.3643473292781,2556.42794589586,15287.5125775052
"44",44,5.61892035432547,682.320675809817,118.827844399277,2445.94948853913,2.13844560007675,2.09754602759042,56.8868062060003,507.337097999746,3972.60955627742,21105.5276582411,2110.24426345194,1154.50503254436,14390.817327002,25.7729916695388,2342.30884066679,15649.5176413606
"45",45,3.64650737340768,695.275350625417,105.304996205765,2496.58828602418,2.37311041101074,1.86143419951553,54.3944081269522,499.385546508743,4083.95131272652,21477.3929743828,2184.09602977651,1149.87716245577,14741.9094702508,29.8667508248457,2609.96444327334,16210.7780292098
"46",46,4.05262491053285,697.752274364325,104.512567255637,2532.86673057628,2.54358478344173,1.67953160114928,56.3945713071879,496.116066270796,4235.95620207983,21430.4076901898,2185.78874765368,1151.05492767236,14815.9383533318,31.4446433543737,2548.92025970182,16760.447425111
"47",47,3.80691470593286,692.087637623318,108.632564539165,2588.90364604892,1.62274641512786,1.46931253247297,52.4176965521546,509.158602675172,4328.72209296428,21453.2712777709,2213.23653334467,1171.70739029721,15332.4908666109,21.6846196193445,2397.2305893247,17082.507909126
"48",48,2.78934385336322,699.95708089064,101.544192242024,2679.08793680618,1.55341501093475,1.30026307473475,48.496004175167,510.612196829475,4411.98522107801,21401.400204591,2255.29235705191,1175.27090077937,15270.0447664594,25.8139114787564,2749.36107205965,17312.7208714067
"49",49,3.05076411129496,707.160431997522,96.1723560204549,2738.45337002737,1.89682862246171,1.15304207330496,49.2328585000009,510.59797810832,4543.6874700594,21341.459703561,2287.63532072522,1165.15081491945,15573.3351042125,26.5535703106326,2733.05644700894,17699.5239390421
"50",50,2.30769429651758,707.99703405238,102.040971229814,2791.49452348486,1.25571111424073,1.01551898793098,44.6550480008474,511.740716622167,4672.13235052082,21453.2934047195,2294.90154101762,1172.14105731306,16258.3449378456,18.0475915499763,2588.11801886824,18086.4791897644
