"","year","sc1.0","sc2.1","sc2.2","sc2.3","sc3.1","sc3.2","sc4.1","sc4.2","sc5.1","sc5.2","A","B","C","D","E","F"
"28",28,61.0698174764475,288.66192306889,201.182922914626,622.182831414293,51.9940423167543,16.4926244928654,142.303414621058,263.392630627489,1637.5590058036,6711.30775944607,644.287544467496,356.190992719207,6344.01977343109,146.999723229772,2459.39082394175,4782.72926594662
"29",29,56.9150264801769,289.5708661546,217.318137401929,655.917886257504,27.9889430299169,13.6719549938315,157.650529083541,265.869515285522,1547.31262293827,6579.71974698953,625.029648445925,362.946244576869,6859.85240525573,131.988082454099,2642.77305892977,5199.68568813649
"30",30,44.3473770797536,290.668167666662,188.326354820349,678.286047996645,33.6895797953431,12.3047880033671,140.426369618688,273.423943435545,1759.6098442234,6147.22693929565,678.960062774566,370.103495867918,6882.68728538006,120.855021274117,2688.71217900997,5711.76325363864
"31",31,50.4194831715209,301.365782116402,183.440872407623,695.07834546714,49.9616348407051,12.1649375133909,127.692095570835,269.68124322605,1921.52614068618,5855.1315725188,706.203091583832,355.072141820359,7031.43085000161,137.542562123131,2745.18919490804,5955.10737412461
"32",32,58.7125236336459,302.586149545707,196.970781487407,763.608142525557,27.069143198733,10.2097791646338,135.00244666155,268.808576885127,1878.54327601758,5793.88004937128,732.532543913164,363.920055081457,7208.65414570233,107.183271501152,2860.60876209397,6108.6072141869
"33",33,37.4441940448405,292.760770711972,177.501695323856,815.725427916005,30.3071367591618,8.67006626555121,123.07646318769,274.341016168112,2046.30006627577,5458.7491094564,727.039659127991,378.263732196328,7368.81006373719,105.290607287559,3260.59751280214,6295.58868760973
"34",34,42.6600688873972,289.600638282608,181.461684956101,864.5109884861,45.2242194628722,8.27391906757232,124.2461881559,289.660233837969,2184.38126807096,4852.68195987277,790.117774573954,364.98971556397,7194.89445866131,113.093386889589,2997.35319148253,6548.8151528534
"35",35,60.9478250093748,292.099283241624,196.196293720523,857.993116113584,29.4512859183133,6.61503058417946,115.642875585458,282.932536871284,2200.05338892722,4713.68340712511,868.834165293804,362.409139990631,7288.99451481046,94.2078313649693,2949.84370903727,6640.36387017853
"36",36,31.5762464257286,287.956822740429,159.460472447793,923.918411799799,18.3206208723708,6.04470333750453,126.145287603559,290.493314974794,2464.35505814962,4384.06728123445,801.975193860488,371.984834870151,7569.14228710185,102.60236227663,3273.04623246844,6751.13087505613
"37",37,32.4613414647283,283.332866134573,191.771409384865,961.593165998956,38.5161315345712,5.47945028039998,128.494886902009,308.73773412473,2556.92018029668,4272.15489073306,885.899326278274,377.571321080538,7295.63814221471,114.319343697134,3266.0611096774,6924.24685054066
"38",38,43.9903132366508,286.897741242293,188.621147439149,960.028271279891,23.4709364930303,5.02147051830101,105.011071321552,290.838610807672,2628.25084855193,3798.44070638939,927.346087126758,366.340344793231,7519.85014652062,79.0953730760659,3040.06822698516,7001.95653850001
"39",39,17.3333679544584,295.096108868737,163.317385064372,1066.66276950067,12.8652503149245,4.17262528892804,103.379868917006,289.943372580411,2746.15489867041,3898.73587578694,950.745137367122,397.981656911771,7616.14031983408,91.2096031276461,3332.03064550457,7018.08068101388
"40",40,25.4691148611767,290.757316112377,190.751300120071,1097.89839684089,37.9269883782966,3.50197484682969,123.066702906856,301.103983633495,3044.09128822298,3556.91056930224,965.058310988309,385.247355869192,7404.42549642091,97.0223639895159,3507.72353425363,7074.46988420458
"41",41,28.2205533367195,294.6911025904,188.273206421562,1114.84540509088,10.4537542049245,3.33343603445391,105.721944408574,310.825801849034,3132.41136777099,3497.23205278203,985.587717340558,379.931741274703,7441.96218628912,63.8249256335809,3341.04830575396,6907.435953222
"42",42,14.302844309974,298.645571030438,159.17722471468,1169.71048164358,9.52315422885015,3.46495554328146,96.6599972018366,300.141529772029,3341.15802236311,3171.31949048684,987.955699463849,401.902181755337,7377.89879135784,77.0591993158455,3801.74765540947,6915.04353154151
"43",43,20.0545402236896,296.642653100728,176.845596846866,1240.02170701358,21.0882953365178,2.67518889718757,111.012471122594,297.253654588411,3569.32002789404,3065.53784722825,1070.93822952889,418.966650516775,7373.99071079167,91.3121844335466,3812.2352407166,6814.55389535579
"44",44,27.1636938995098,294.270634461385,186.025707887364,1279.27910999917,5.74864879453972,2.16308990981835,96.4231508924492,308.786261759573,3625.52983495974,3367.69231571477,1116.69859933545,404.0910370662,7279.45058814615,57.185900169344,3628.50576149635,6716.20768484604
"45",45,13.7159959370271,301.928325840662,145.958025007411,1292.1603475896,10.719762745197,1.83950639677708,84.5331674575157,310.857712782869,3774.48617579483,2902.76647871749,1204.0202040509,392.045223840996,7345.44737912883,71.2501794529114,3856.1476117908,6685.76881871886
"46",46,15.2245754850077,297.131725976176,158.534210983157,1391.76155351333,10.8816429896479,1.69364324089444,94.3865478785003,298.603419741438,4129.07301593783,2875.31789241702,1198.54618773042,397.909728485021,7226.70293908431,78.8255975799349,3726.0737260665,6387.79023171264
"47",47,19.180479707291,284.766700638949,168.647721413418,1482.82316806953,5.86153167299756,1.43576196230866,105.588541234549,305.744620446431,3984.18834440086,2883.58381035932,1273.86267627952,426.693656915417,7074.41144698555,55.6157660149479,3811.15983306187,6344.55904363906
"48",48,11.8225782872163,289.283498757972,153.755225278038,1484.49333813998,6.96990175903008,1.14839139791397,75.8817840139855,316.107585173789,4123.08309032861,2994.56525880557,1313.93487286438,433.385356101106,7075.83221207714,75.344307254335,4198.56158087355,6131.48656782761
"49",49,14.4600070125433,293.902043557385,155.939226628201,1575.58305904829,9.6280849092132,1.26942326882543,87.0458017977353,314.348912418572,4323.48508013317,3126.38011288603,1346.80923508666,405.269819998975,7003.37676675417,73.4727281226019,4056.34614084873,6010.49844574685
"50",50,9.17762211837836,294.385638058134,172.976862310816,1734.70142382654,4.69827977379305,1.00669977870488,89.0969935815192,314.744516377314,4419.39653630041,2824.10124070185,1367.76398684668,400.427880975917,6788.78697503224,44.5197102821167,4132.73215946217,5801.06535464374
